latitude,longitude,depth,magnitude,region,stations_used,source_file,year
34.297,25.045,30.0,5.1,GREECE,590,b20150128-1554.txt,2015
35.629,26.591,80.0,5.2,GREECE,732,b20150327-2334.txt,2015
34.743,32.391,20.0,5.5,CYPRUS,612,b20150415-0825.txt,2015
35.027,26.812,30.0,6.1,GREECE,1389,b20150416-1807.txt,2015
34.969,26.838,30.0,5.0,GREECE,654,b20150416-1902.txt,2015
34.993,26.75,46.2,5.3,GREECE,654,b20150417-0205.txt,2015
38.65,23.4,8.0,5.3,GREECE,47,b20150609-0109.txt,2015
34.96,26.684,25.0,5.4,GREECE,631,b20150609-2149.txt,2015
36.58,26.8,155.0,5.0,GREECE,11,b20150724-0958.txt,2015
36.495,34.923,10.0,5.0,TURKEY,504,b20150729-2200.txt,2015
36.104,29.914,51.2,5.1,TURKEY,655,b20151006-2127.txt,2015
38.759,20.451,10.0,6.5,GREECE,1030,b20151117-0710.txt,2015
38.73,20.418,10.0,5.0,GREECE,665,b20151117-0833.txt,2015
38.897,20.515,2.0,5.0,GREECE,538,b20151118-1215.txt,2015
38.84,37.84,22.0,5.0,TURKEY,65,b20151129-0028.txt,2015
39.56,34.38,16.0,5.0,TURKEY,39,b20160110-1740.txt,2016
35.654,-3.759,10.0,5.0,STRAIT OF GIBRALTAR,453,b20160121-1347.txt,2016
35.705,-3.715,10.0,6.3,STRAIT OF GIBRALTAR,758,b20160125-0422.txt,2016
35.617,-3.814,10.0,5.0,STRAIT OF GIBRALTAR,146,b20160125-0430.txt,2016
35.745,-3.815,10.0,5.3,STRAIT OF GIBRALTAR,450,b20160125-0434.txt,2016
35.616,-3.756,15.0,5.2,STRAIT OF GIBRALTAR,412,b20160125-0554.txt,2016
35.567,-3.954,10.0,5.0,STRAIT OF GIBRALTAR,471,b20160125-0610.txt,2016
37.58,21.7,5.0,5.1,GREECE,59,b20160215-1855.txt,2016
35.72,-3.616,10.0,5.1,STRAIT OF GIBRALTAR,472,b20160222-0346.txt,2016
35.724,-3.687,10.0,5.2,STRAIT OF GIBRALTAR,479,b20160315-0440.txt,2016
37.437,20.107,10.0,5.3,IONIAN SEA,665,b20160329-0105.txt,2016
34.221,25.618,10.0,5.0,GREECE,489,b20160403-0046.txt,2016
34.81,25.746,10.0,5.0,GREECE,413,b20160416-0010.txt,2016
34.737,26.199,25.0,5.4,GREECE,587,b20160525-0836.txt,2016
36.375,3.534,10.0,5.2,ALGERIA,608,b20160528-2354.txt,2016
35.133,22.798,10.0,5.1,MEDITERRANEAN SEA,691,b20160730-1726.txt,2016
42.71,13.22,4.0,6.2,ITALY,235,b20160824-0136.txt,2016
42.79,13.15,9.0,5.5,ITALY,212,b20160824-0233.txt,2016
41.98,21.5,4.0,5.2,MACEDONIA,59,b20160911-1310.txt,2016
45.71,26.62,92.0,5.7,ROMANIA,146,b20160923-2311.txt,2016
36.359,27.614,90.0,5.2,GREECE-TURKEY BORDER,68,b20160927-2057.txt,2016
42.2,30.688,10.0,5.1,BLACK SEA,520,b20161015-0818.txt,2016
39.78,20.63,10.0,5.4,GREECE,83,b20161015-2014.txt,2016
39.758,20.705,10.0,5.0,GREECE,22,b20161016-0009.txt,2016
39.78,20.66,14.0,5.0,GREECE,20,b20161016-0041.txt,2016
39.694,20.697,10.0,5.0,GREECE,17,b20161016-0048.txt,2016
39.647,20.589,10.0,5.1,GREECE,18,b20161016-0340.txt,2016
42.88,13.13,9.0,5.5,ITALY,202,b20161026-1710.txt,2016
42.92,13.13,8.0,6.1,ITALY,179,b20161026-1918.txt,2016
39.35,13.437,449.4,5.8,TYRRHENIAN SEA,941,b20161028-2002.txt,2016
42.84,13.11,10.0,6.5,ITALY,173,b20161030-0640.txt,2016
34.662,6.268,10.0,5.0,ALGERIA,574,b20161118-0742.txt,2016
36.56,26.9,110.0,5.2,GREECE,89,b20161220-0603.txt,2016
45.716,26.608,90.9,5.6,ROMANIA,45,b20161227-2320.txt,2016
42.55,13.26,9.0,5.3,ITALY,78,b20170118-0925.txt,2017
42.53,13.28,9.0,5.7,ITALY,177,b20170118-1014.txt,2017
42.49,13.31,9.0,5.6,ITALY,173,b20170118-1025.txt,2017
42.48,13.28,10.0,5.2,ITALY,203,b20170118-1333.txt,2017
35.352,26.432,70.2,5.2,GREECE,1026,b20170125-1850.txt,2017
39.54,26.11,6.0,5.2,TURKEY,91,b20170206-0351.txt,2017
39.52,26.09,6.0,5.4,TURKEY,35,b20170206-1058.txt,2017
39.53,26.12,8.0,5.3,TURKEY,59,b20170207-0224.txt,2017
39.52,26.12,4.0,5.2,TURKEY,245,b20170212-1348.txt,2017
37.6,38.49,11.0,5.5,TURKEY,16,b20170302-1107.txt,2017
38.79,29.05,6.0,5.0,TURKEY,67,b20170421-1309.txt,2017
38.645,27.604,10.0,5.0,TURKEY,29,b20170421-1412.txt,2017
38.72,27.83,13.0,5.0,TURKEY,36,b20170527-1553.txt,2017
38.73,27.78,9.0,5.0,TURKEY,129,b20170528-1104.txt,2017
38.85,26.31,9.0,6.3,TURKEY,66,b20170612-1228.txt,2017
38.851,26.463,10.0,5.2,TURKEY,20,b20170617-1950.txt,2017
41.15,20.96,5.0,5.0,MACEDONIA,92,b20170703-1118.txt,2017
34.778,25.4,15.0,5.3,GREECE,477,b20170715-2030.txt,2017
36.96,27.45,2.0,6.6,GREECE-TURKEY BORDER,10,b20170720-2231.txt,2017
36.906,27.341,10.0,5.0,GREECE-TURKEY BORDER,29,b20170721-1709.txt,2017
34.393,24.01,20.0,5.3,GREECE,605,b20170731-2129.txt,2017
37.0,27.63,1.0,5.3,TURKEY,36,b20170808-0742.txt,2017
39.13,21.53,12.0,5.0,GREECE,85,b20170911-1620.txt,2017
39.1,24.23,7.0,5.1,AEGEAN SEA,69,b20171011-2249.txt,2017
37.14,28.59,5.0,5.0,TURKEY,37,b20171122-2022.txt,2017
37.14,28.61,6.0,5.1,TURKEY,31,b20171124-2149.txt,2017
41.22,22.86,6.0,5.1,GREECE,27,b20180102-0424.txt,2018
36.309,2.561,10.0,5.0,ALGERIA,255,b20180102-2059.txt,2018
42.67,19.88,7.0,5.0,MONTENEGRO,54,b20180104-1046.txt,2018
37.798,20.439,14.7,5.0,IONIAN SEA,414,b20180221-2344.txt,2018
37.597,38.507,10.0,5.2,TURKEY,31,b20180424-0034.txt,2018
36.461,22.956,10.0,5.0,GREECE,683,b20180516-2230.txt,2018
34.231,9.74,10.0,5.1,TUNISIA,571,b20180521-0018.txt,2018
36.716,21.369,10.0,5.5,GREECE,829,b20180625-0514.txt,2018
41.586,20.212,10.0,5.1,ALBANIA,77,b20180811-1538.txt,2018
41.886,14.823,10.0,5.3,ITALY,768,b20180816-1819.txt,2018
39.28,21.62,12.0,5.1,GREECE,51,b20180831-0712.txt,2018
36.028,31.083,60.0,5.2,TURKEY,406,b20180912-0621.txt,2018
34.335,26.497,10.0,5.0,GREECE,688,b20180917-0024.txt,2018
36.742,21.334,10.0,5.2,GREECE,599,b20180927-1021.txt,2018
